cosparId,depth,diameter,height,mass,name,objectClass,satno,shape,span,vimpelId,width,xSectAvg,xSectMax,xSectMin
1998-067A,108.5,,20.0,450000.0,International Space Station,Payload,25544,Irr,108.5,,72.8,5762.4,8319.84840246504,1456.0
2006-055A,37.3,,37.3,132931.0,Discovery (STS-116),Payload,29647,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
2005-026A,37.3,,37.3,132720.0,Discovery (STS-114),Payload,28775,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
1998-064A,23.78,,37.23,129804.76,Discovery (STS-95),Payload,25519,Cone + Box + 2 Wing,37.23,,5.49,610.13715,917.947928393811,130.5522
2006-036A,37.3,,37.3,125107.0,Atlantis (STS-115),Payload,29391,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
1999-040A,37.3,,37.3,122534.0,Columbia (STS-93),Payload,25866,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2007-024A,37.3,,37.3,122315.0,Atlantis  (STS-117),Payload,31600,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2008-005A,37.3,,37.3,120413.0,Atlantis (STS-122),Payload,32486,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2007-050A,37.3,,37.3,120413.0,Discovery (STS-120),Payload,32272,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2007-035A,37.3,,37.3,120413.0,Endeavour (STS-118),Payload,32008,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2000-027A,37.3,,37.3,119097.0,Atlantis (STS-101),Payload,26368,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
1999-030A,37.3,,37.3,118857.0,Discovery (STS-96),Payload,25760,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
2003-003A,37.3,,37.3,118031.0,Columbia (STS-107),Payload,27647,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
1997-073A,23.78,,37.23,117268.58,Columbia (STS-87),Payload,25061,Box + 2 Wing + 1 Fin,37.23,,5.49,610.13715,917.947928393811,130.5522
2001-028A,37.3,,37.3,117127.0,Atlantis (STS-104),Payload,26862,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
1998-034A,23.78,,37.23,116912.78,Discovery (STS-91),Payload,25356,Cone + Box + 2 Wing,37.23,,5.49,610.13715,917.947928393811,130.5522
1997-032A,23.78,,37.23,116750.25,Columbia (STS-94),Payload,24849,Box + 2 Wing + 1 Fin,37.23,,5.49,610.13715,917.947928393811,130.5522
2011-008A,37.3,,37.3,116700.0,Discovery (STS-133),Payload,37371,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2009-012A,37.3,,37.3,116666.0,Discovery (STS-119),Payload,34541,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2008-059A,37.3,,37.3,116554.0,Endeavour (STS-126),Payload,33441,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2002-047A,37.3,,37.3,116535.0,Atlantis (STS-112),Payload,27537,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
2009-045A,37.3,,37.3,116520.0,Discovery (STS-128),Payload,35811,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2002-028A,37.3,,37.3,116520.0,Endeavour (STS-111),Payload,27440,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2002-052A,37.3,,37.3,116458.0,Endeavour (STS-113),Payload,27556,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2010-012A,37.3,,37.3,116388.0,Discovery (STS-131),Payload,36507,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2010-004A,37.3,,37.3,116313.0,Endeavour (STS-130),Payload,36394,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2000-078A,37.3,,37.3,116264.0,Endeavour (STS-97),Payload,26630,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2001-035A,37.3,,37.3,116225.0,Discovery (STS-105),Payload,26888,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
2008-009A,37.3,,37.3,116115.0,Endeavour (STS-123),Payload,32699,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2009-025A,37.3,,37.3,116115.0,Atlantis (STS-125),Payload,34933,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2011-031A,37.3,,37.3,116112.0,Atlantis (STS-135),Payload,37736,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2011-020A,37.3,,37.3,116112.0,Endeavour (STS-134),Payload,37577,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2009-062A,37.3,,37.3,116000.0,Atlantis (STS-129),Payload,36094,Box + 2 Wing + 1 Fin,37.3,,23.8,1583.385,1873.99372445587,887.74
2006-028A,37.3,,37.3,115861.0,Discovery (STS-121),Payload,29251,Cone + Box + 2 Wing,37.3,,23.8,1583.385,1873.99372445587,887.74
